5/9/2021 5:00:35 PM  Counts:902000
1420.352437500  0.059062530
1420.354781250  0.058764995
1420.357125000  0.058697380
1420.359468750  0.058693859
1420.361812500  0.058709289
1420.364156250  0.058626815
1420.366500000  0.058610003
1420.368843750  0.058975685
1420.371187500  0.058607788
1420.373531250  0.058687699
1420.375875000  0.058552998
1420.378218750  0.058547365
1420.380562500  0.058433633
1420.382906250  0.058331433
1420.385250000  0.058375138
1420.387593750  0.058271643
1420.389937500  0.058247658
1420.392281250  0.058176407
1420.394625000  0.058206733
1420.396968750  0.058302923
1420.399312500  0.059727174
1420.401656250  0.059336274
1420.404000000  0.058248102
1420.406343750  0.058141092
1420.408687500  0.058116374
1420.411031250  0.058157655
1420.413375000  0.058465443
1420.415718750  0.058046709
1420.418062500  0.058021827
1420.420406250  0.058002427
1420.422750000  0.057992976
1420.425093750  0.057853015
1420.427437500  0.057939693
1420.429781250  0.058025006
1420.432125000  0.058916114
1420.434468750  0.057993515
1420.436812500  0.058003447
1420.439156250  0.058031318
1420.441500000  0.057958687
1420.443843750  0.058125373
1420.446187500  0.058068247
1420.448531250  0.058085402
1420.450875000  0.058047794
1420.453218750  0.058024645
1420.455562500  0.058123916
1420.457906250  0.058192609
1420.460250000  0.058265410
1420.462593750  0.058886854
1420.464937500  0.058648712
1420.467281250  0.058608696
1420.469625000  0.058614567
1420.471968750  0.058793632
1420.474312500  0.058907794
1420.476656250  0.059048840
1420.479000000  0.059057367
1420.481343750  0.059069154
1420.483687500  0.059225070
1420.486031250  0.059267496
1420.488375000  0.059417003
1420.490718750  0.059417842
1420.493062500  0.060195874
1420.495406250  0.061374518
1420.497750000  0.059761388
1420.500093750  0.059548366
1420.502437500  0.059642323
1420.504781250  0.059872110
1420.507125000  0.059961159
1420.509468750  0.059906026
1420.511812500  0.059779027
1420.514156250  0.059725544
1420.516500000  0.059739789
1420.518843750  0.059668500
1420.521187500  0.059668594
1420.523531250  0.059533513
1420.525875000  0.059910195
1420.528218750  0.059522248
1420.530562500  0.059445079
1420.532906250  0.059388669
1420.535250000  0.059583939
1420.537593750  0.059307011
1420.539937500  0.059157827
1420.542281250  0.059188585
1420.544625000  0.059014834
1420.546968750  0.058940226
1420.549312500  0.058830596
1420.551656250  0.058801390
1420.554000000  0.058798573
1420.556343750  0.059537101
1420.558687500  0.059157186
1420.561031250  0.058618192
1420.563375000  0.058575155
1420.565718750  0.058590965
1420.568062500  0.058382338
1420.570406250  0.058611516
1420.572750000  0.058513010
1420.575093750  0.058369758
1420.577437500  0.058337671
1420.579781250  0.058362727
1420.582125000  0.058285391
1420.584468750  0.058289427
1420.586812500  0.058379489
1420.589156250  0.060309571
1420.591500000  0.058249893
1420.593843750  0.058165957
1420.596187500  0.058306367
1420.598531250  0.058228926
1420.600875000  0.058383402
1420.603218750  0.058491468
1420.605562500  0.058260582
1420.607906250  0.058232883
1420.610250000  0.058284902
1420.612593750  0.058291730
1420.614937500  0.058126863
1420.617281250  0.058096626
1420.619625000  0.058294702
1420.621968750  0.058288931
1420.624312500  0.058249125
1420.626656250  0.058332036
1420.629000000  0.058393868
1420.631343750  0.058292036
1420.633687500  0.058373723
1420.636031250  0.058406536
1420.638375000  0.058407909
1420.640718750  0.058557404
1420.643062500  0.058444915
1420.645406250  0.058511094
1420.647750000  0.058589805
1420.650093750  0.059435732
1420.652437500  0.060133482
1420.654781250  0.058627253
1420.657125000  0.058745214
1420.659468750  0.058573586
1420.661812500  0.058644225
1420.664156250  0.058786497
1420.666500000  0.058793195
1420.668843750  0.058769921
1420.671187500  0.058758444
1420.673531250  0.058794138
1420.675875000  0.058730085
1420.678218750  0.058821607
1420.680562500  0.058800251
1420.682906250  0.059751537
1420.685250000  0.058854646
1420.687593750  0.058963356
1420.689937500  0.058910612
1420.692281250  0.058884864
1420.694625000  0.059063750
1420.696968750  0.059169112
1420.699312500  0.059071606
1420.701656250  0.059105133
1420.704000000  0.059116008
1420.706343750  0.059193225
1420.708687500  0.059189891
1420.711031250  0.059239843
1420.713375000  0.059969739
1420.715718750  0.059491597
1420.718062500  0.059321676
1420.720406250  0.059124177
1420.722750000  0.059255768
1420.725093750  0.059266421
1420.727437500  0.059406701
1420.729781250  0.059255082
1420.732125000  0.059262715
1420.734468750  0.059370177
1420.736812500  0.059330525
1420.739156250  0.059403572
1420.741500000  0.059348271
1420.743843750  0.059850724
1420.746187500  0.061738341
1420.748531250  0.059453608
1420.750875000  0.059359907
